service_id,date,exception_type
2,20240905,1
2,20240906,1
3,20240907,1
2,20240909,1
2,20240910,1
2,20240911,1
2,20240912,1
2,20240913,1
3,20240914,1
2,20240916,1
2,20240917,1
2,20240918,1
2,20240919,1
2,20240920,1
3,20240921,1
2,20240923,1
2,20240924,1
2,20240925,1
2,20240926,1
2,20240927,1
3,20240928,1
2,20240930,1
2,20241001,1
2,20241002,1
2,20241003,1
2,20241004,1
3,20241005,1
2,20241007,1
2,20241008,1
2,20241009,1
2,20241010,1
2,20241011,1
3,20241012,1
2,20241014,1
2,20241015,1
2,20241016,1
2,20241017,1
2,20241018,1
3,20241019,1
2,20241021,1
2,20241022,1
2,20241023,1
2,20241024,1
2,20241025,1
3,20241026,1
2,20241028,1
2,20241029,1
2,20241030,1
2,20241031,1
2,20241101,1
3,20241102,1
2,20241104,1
2,20241105,1
2,20241106,1
2,20241107,1
2,20241108,1
3,20241109,1
2,20241111,1
2,20241112,1
2,20241113,1
2,20241114,1
2,20241115,1
3,20241116,1
2,20241118,1
2,20241119,1
2,20241120,1
2,20241121,1
2,20241122,1
3,20241123,1
2,20241125,1
2,20241126,1
2,20241127,1
2,20241129,1
3,20241130,1
2,20241202,1
2,20241203,1
2,20241204,1
2,20241205,1
2,20241206,1
3,20241207,1
2,20241209,1
2,20241210,1
2,20241211,1
2,20241212,1
2,20241213,1
3,20241214,1
2,20241216,1
2,20241217,1
2,20241218,1
2,20241219,1
2,20241220,1
3,20241221,1
2,20241223,1
2,20241224,1
2,20241226,1
2,20241227,1
3,20241228,1
2,20241230,1
2,20241231,1
2,20250102,1
2,20250103,1
3,20250104,1
2,20250106,1
2,20250107,1
2,20250108,1
2,20250109,1
2,20250110,1
3,20250111,1
2,20250113,1
2,20250114,1
2,20250115,1
2,20250116,1
2,20250117,1
3,20250118,1
2,20250120,1
2,20250121,1
2,20250122,1
2,20250123,1
2,20250124,1
3,20250125,1
2,20250127,1
2,20250128,1
2,20250129,1
2,20250130,1
2,20250131,1
3,20250201,1
2,20250203,1
2,20250204,1
2,20250205,1
2,20250206,1
2,20250207,1
3,20250208,1
2,20250210,1
2,20250211,1
2,20250212,1
2,20250213,1
2,20250214,1
3,20250215,1
2,20250217,1
2,20250218,1
2,20250219,1
2,20250220,1
2,20250221,1
3,20250222,1
2,20250224,1
2,20250225,1
2,20250226,1
2,20250227,1
2,20250228,1
3,20250301,1
2,20250303,1
2,20250304,1
2,20250305,1
2,20250306,1
2,20250307,1
3,20250308,1
2,20250310,1
2,20250311,1
2,20250312,1
2,20250313,1
2,20250314,1
3,20250315,1
2,20250317,1
2,20250318,1
2,20250319,1
2,20250320,1
2,20250321,1
3,20250322,1
2,20250324,1
2,20250325,1
2,20250326,1
2,20250327,1
2,20250328,1
3,20250329,1
2,20250331,1
2,20250401,1
2,20250402,1
2,20250403,1
2,20250404,1
3,20250405,1
2,20250407,1
2,20250408,1
2,20250409,1
2,20250410,1
2,20250411,1
3,20250412,1
2,20250414,1
2,20250415,1
2,20250416,1
2,20250417,1
2,20250418,1
3,20250419,1
2,20250421,1
2,20250422,1
2,20250423,1
2,20250424,1
2,20250425,1
3,20250426,1
2,20250428,1
2,20250429,1
2,20250430,1
2,20250501,1
2,20250502,1
3,20250503,1
2,20250505,1
2,20250506,1
2,20250507,1
2,20250508,1
2,20250509,1
3,20250510,1
2,20250512,1
2,20250513,1
2,20250514,1
2,20250515,1
2,20250516,1
3,20250517,1
2,20250519,1
2,20250520,1
2,20250521,1
2,20250522,1
2,20250523,1
3,20250524,1
2,20250527,1
2,20250528,1
2,20250529,1
2,20250530,1
3,20250531,1
2,20250602,1
2,20250603,1
2,20250604,1
2,20250605,1
2,20250606,1
3,20250607,1
2,20250609,1
2,20250610,1
2,20250611,1
2,20250612,1
2,20250613,1
3,20250614,1
2,20250616,1
2,20250617,1
2,20250618,1
2,20250619,1
2,20250620,1
3,20250621,1
2,20250623,1
2,20250624,1
2,20250625,1
2,20250626,1
2,20250627,1
3,20250628,1
2,20250630,1
2,20250701,1
2,20250702,1
2,20250703,1
2,20250704,1
3,20250705,1
2,20250707,1
2,20250708,1
2,20250709,1
2,20250710,1
2,20250711,1
3,20250712,1
2,20250714,1
2,20250715,1
2,20250716,1
2,20250717,1
2,20250718,1
3,20250719,1
2,20250721,1
2,20250722,1
2,20250723,1
2,20250724,1
2,20250725,1
3,20250726,1
2,20250728,1
2,20250729,1
2,20250730,1
2,20250731,1
2,20250801,1
3,20250802,1
2,20250804,1
2,20250805,1
2,20250806,1
2,20250807,1
2,20250808,1
3,20250809,1
2,20250811,1
2,20250812,1
2,20250813,1
2,20250814,1
2,20250815,1
3,20250816,1
2,20250818,1
2,20250819,1
2,20250820,1
2,20250821,1
2,20250822,1
3,20250823,1
2,20250825,1
2,20250826,1
2,20250827,1
2,20250828,1
2,20250829,1
3,20250830,1
2,20250902,1
2,20250903,1
2,20250904,1
2,20250905,1
